"Query_sequence","Most_common_class.level.assignment","Class.level_assignment","Most_common_order.level.assignment","Order.level_assignment","Most_common_family.level.assignment","Family.level_assignment","Taxon_assignment","Likelihood_weight","otu","Extraction_ID","Tree_ID","site_ID"
"EUSF1532_ITS1F_H03_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pezizaceae","Pezizaceae","Peziza_praetervisa,Peziza_lobulata","0.995639","OTU131","EUSF01532","S4T4","S4"
"EUSF1533_ITS1F_A04_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Sporormiaceae","Sporormiaceae","Westerdykella_cylindrica,Preussia_minima","0.198046, 0.145861, 0.111028, 0.108654, 0.106554, 0.076839, 0.074317, 0.072795, 0.053130, 0.040882","OTU74","EUSF01533","S4T5","S4"
"EUSF1534_ITS1F_B04_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385","OTU31","EUSF01534","S5T1","S5"
"EUSF1535_ITS1F_C04_cleaned.ab1","Sordariomycetes","Sordariomycetes","Coniochaetales","Coniochaetales","Coniochaetaceae","Coniochaetaceae","Coniochaeta_ligniaria","0.998077","OTU204","EUSF01535","S5T1","S5"
"EUSF1536_ITS1F_D04_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.524397, 0.260797, 0.196232","OTU208","EUSF01536","S5T1","S5"
"EUSF1537_ITS1F_E04_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF01537","S5T1","S5"
"EUSF1538_ITS1F_F04_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385","OTU31","EUSF01538","S5T1","S5"
"EUSF1539_ITS1F_G04_cleaned.ab1","Eurotiomycetes","Eurotiomycetes","Eurotiales","Eurotiales","Aspergillaceae","Aspergillaceae","Penicillium_freii","0.630299, 0.354916","OTU125","EUSF01539","S5T1","S5"
"EUSF1540_ITS1F_H04_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Apiosporaceae","Apiosporaceae","Apiospora_setosa,Apiospora_bambusae,Apiospora_tintinnabula,Arthrinium_sacchari,Arthrinium_arundinis","0.970542","OTU205","EUSF01540","S5T1","S5"
"EUSF1541_ITS1F_A05_cleaned.ab1","Eurotiomycetes","Eurotiomycetes","Eurotiales","Eurotiales","Aspergillaceae","Aspergillaceae","Penicillium_viridicatum,Penicillium_freii","0.895740, 0.069317","OTU44","EUSF01541","S5T1","S5"
