Date,culture_id,motu_id,full_culture_ID
2017-06-09,269,MOTU026,ZUSF00269
2017-06-09,450,MOTU026,ZUSF00450
2017-06-09,231,MOTU026,ZUSF00231
2017-06-09,222,MOTU026,ZUSF00222
2017-06-09,403,MOTU027,ZUSF00403
2017-06-09,413,MOTU027,ZUSF00413
2017-06-09,404,MOTU027,ZUSF00404
2017-06-09,465,MOTU027,ZUSF00465
2017-06-09,447,MOTU028,ZUSF00447
2017-06-09,515,MOTU028,ZUSF00515
2017-06-09,436,MOTU028,ZUSF00436
2017-06-09,446,MOTU028,ZUSF00446
2017-06-09,500,MOTU029,ZUSF00500
2017-06-09,501,MOTU029,ZUSF00501
2017-06-09,396,MOTU029,ZUSF00396
2017-06-09,588,MOTU029,ZUSF00588
2017-06-09,440,MOTU029,ZUSF00440
2017-06-09,483,MOTU029,ZUSF00483
2017-06-09,435,MOTU029,ZUSF00435
2017-06-09,503,MOTU030,ZUSF00503
2017-06-09,520,MOTU030,ZUSF00520
2017-06-09,351,MOTU030,ZUSF00351
2017-06-09,479,MOTU030,ZUSF00479
2017-06-09,218,MOTU030,ZUSF00218
2017-06-09,223,MOTU030,ZUSF00223
2017-06-09,496,MOTU030,ZUSF00496
2017-06-09,599,MOTU031,ZUSF00599
2017-06-09,281,MOTU031,ZUSF00281
2017-06-09,318,MOTU031,ZUSF00318
2017-06-09,539,MOTU031,ZUSF00539
2017-06-09,317,MOTU031,ZUSF00317
2017-06-09,481,MOTU031,ZUSF00481
2017-06-09,330,MOTU032,ZUSF00330
2017-06-09,391,MOTU033,ZUSF00391
2017-06-09,405,MOTU034,ZUSF00405
2017-06-09,356,MOTU035,ZUSF00356
2017-06-09,650,MOTU036,ZUSF00650
2017-06-09,651,MOTU037,ZUSF00651
2017-06-09,252,MOTU038,ZUSF00252
2017-06-09,422,MOTU039,ZUSF00422
2017-06-09,212,MOTU040,ZUSF00212
2017-06-09,411,MOTU041,ZUSF00411
2017-06-09,420,MOTU042,ZUSF00420
2017-06-09,406,MOTU043,ZUSF00406
2017-06-09,457,MOTU044,ZUSF00457
2017-06-09,559,MOTU045,ZUSF00559
2017-06-09,555,MOTU046,ZUSF00555
2017-06-09,526,MOTU047,ZUSF00526
2017-06-09,619,MOTU048,ZUSF00619
2017-06-09,444,MOTU049,ZUSF00444
2017-06-09,642,MOTU050,ZUSF00642
2017-06-09,646,MOTU051,ZUSF00646
2017-06-09,531,MOTU052,ZUSF00531
2017-06-09,329,MOTU053,ZUSF00329
2017-06-09,527,MOTU054,ZUSF00527
2017-06-09,565,MOTU055,ZUSF00565
2017-06-09,408,MOTU056,ZUSF00408
2017-06-09,459,MOTU057,ZUSF00459
2017-06-09,519,MOTU058,ZUSF00519
2017-06-09,615,MOTU059,ZUSF00615
2017-06-09,467,MOTU060,ZUSF00467
2017-06-09,181,MOTU061,ZUSF00181
2017-06-09,434,MOTU062,ZUSF00434
2017-06-09,487,MOTU063,ZUSF00487
2017-06-09,553,MOTU064,ZUSF00553
2017-06-09,626,MOTU065,ZUSF00626
2017-06-09,301,MOTU066,ZUSF00301
2017-06-09,608,MOTU067,ZUSF00608
2017-06-09,621,MOTU068,ZUSF00621
2017-06-09,546,MOTU069,ZUSF00546
2017-06-09,550,MOTU070,ZUSF00550
2017-06-09,611,MOTU071,ZUSF00611
2017-06-09,381,MOTU072,ZUSF00381
2017-06-09,473,MOTU073,ZUSF00473
2017-06-09,305,MOTU074,ZUSF00305
2017-06-09,624,MOTU075,ZUSF00624
2017-06-09,505,MOTU076,ZUSF00505
2017-06-09,499,MOTU077,ZUSF00499
2017-06-09,377,MOTU078,ZUSF00377
2017-06-09,327,MOTU079,ZUSF00327
2017-06-09,285,MOTU080,ZUSF00285
2017-06-09,528,MOTU081,ZUSF00528
2017-06-09,196,MOTU082,ZUSF00196
2017-06-09,632,MOTU083,ZUSF00632
2017-06-09,284,MOTU084,ZUSF00284
2017-06-09,219,MOTU085,ZUSF00219
2017-06-09,471,MOTU086,ZUSF00471
2017-06-09,507,MOTU087,ZUSF00507
2017-06-09,163,MOTU088,ZUSF00163
2017-06-09,262,MOTU089,ZUSF00262
2017-06-09,277,MOTU090,ZUSF00277
2017-06-09,417,MOTU091,ZUSF00417
2017-06-09,257,MOTU092,ZUSF00257
2017-06-09,161,MOTU093,ZUSF00161
2017-06-09,322,MOTU094,ZUSF00322
2017-06-09,448,MOTU095,ZUSF00448
2017-06-09,184,MOTU096,ZUSF00184
2017-06-09,421,MOTU097,ZUSF00421
2017-06-09,437,MOTU098,ZUSF00437
2017-06-09,251,MOTU099,ZUSF00251
2017-06-09,233,MOTU100,ZUSF00233
2017-06-09,628,MOTU101,ZUSF00628
2017-06-09,235,MOTU102,ZUSF00235
2017-06-09,171,MOTU103,ZUSF00171
2017-06-09,298,MOTU104,ZUSF00298
2017-06-09,567,MOTU105,ZUSF00567
2017-06-09,266,MOTU106,ZUSF00266
2017-06-09,165,MOTU107,ZUSF00165
2017-06-09,616,MOTU108,ZUSF00616
2017-06-09,556,MOTU109,ZUSF00556
2017-06-09,489,MOTU110,ZUSF00489
2017-06-09,570,MOTU111,ZUSF00570
2017-06-09,203,MOTU112,ZUSF00203
2017-06-09,238,MOTU113,ZUSF00238
2017-06-09,217,MOTU114,ZUSF00217
2017-06-09,236,MOTU115,ZUSF00236
2017-06-09,389,MOTU116,ZUSF00389
2017-06-09,177,MOTU117,ZUSF00177
2017-06-09,398,MOTU118,ZUSF00398
2017-06-09,379,MOTU119,ZUSF00379
2017-06-09,255,MOTU120,ZUSF00255
2017-06-09,375,MOTU121,ZUSF00375
2017-06-09,303,MOTU122,ZUSF00303
2017-06-09,598,MOTU123,ZUSF00598
2017-06-09,332,MOTU124,ZUSF00332
2017-06-09,458,MOTU125,ZUSF00458
2017-06-09,175,MOTU126,ZUSF00175
2017-06-09,282,MOTU127,ZUSF00282
2017-06-09,384,MOTU128,ZUSF00384
2017-06-09,449,MOTU129,ZUSF00449
2017-06-09,392,MOTU130,ZUSF00392
2017-06-09,445,MOTU131,ZUSF00445
2017-06-09,168,MOTU132,ZUSF00168
2017-06-09,225,MOTU133,ZUSF00225
2017-06-09,202,MOTU134,ZUSF00202
2017-06-09,198,MOTU135,ZUSF00198
2017-06-09,485,MOTU136,ZUSF00485
2017-06-09,207,MOTU137,ZUSF00207
2017-06-09,361,MOTU138,ZUSF00361
2017-06-09,443,MOTU139,ZUSF00443
2017-06-09,369,MOTU140,ZUSF00369
2017-06-09,290,MOTU141,ZUSF00290
