ID_Culture,IDf_Plant_tissue_sample,IDf_Culture_subcultured_from,IDf_Storage_location,IDf_Personnel,From_Label_ID,Label_ID,Genus,Species,Strain,Media_type,Plate_size,Location_plated,Sterilization_method_used,Date_cultured,Notes,z_RecordCreationTimestamp,z_RecordModificationTimestamp,z_RecordCreationAccount,z_RecordModificationAccount
,,,,EmmaG,S2T2,ZUSF00385,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T2,ZUSF00386,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T2,ZUSF00387,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T2,ZUSF00388,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T2,ZUSF00389,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T2,ZUSF00390,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T2,ZUSF00391,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T2,ZUSF00392,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T2,ZUSF00393,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00394,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00395,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00396,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00397,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00398,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00399,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00400,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00401,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00402,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00403,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00404,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00405,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00406,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00407,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00408,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00409,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00410,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00411,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00412,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00413,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00414,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T3,ZUSF00415,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T4,ZUSF00416,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00417,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00418,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00419,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00420,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00421,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00422,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00423,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00424,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00425,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
